#TYPE Selected.VMware.VimAutomation.ViCore.Impl.V1.AnnotationManagement.AnnotationImpl
"Value","AnnotatedEntity"
"Thu Jul 20 18:01:46 2017
,bib-master,vmware_noprod_be-vce-bib_daily","XenApp-DB1"
"Sat Jul 08 23:15:24 2017
,bib-master,vmware_noprod_be-vce-bib_weekly","XenApp-044"
"Sat Jul 08 22:15:18 2017
,bib-master,vmware_noprod_be-vce-bib_weekly","XenApp-089"
"Sat Jul 08 22:17:31 2017
,bib-master,vmware_noprod_be-vce-bib_weekly","XenApp-095"
"Sat Jul 08 22:02:14 2017
,bib-master,vmware_noprod_be-vce-bib_weekly","XenApp-068"
"Thu Jul 20 18:01:37 2017
,bib-master,vmware_noprod_be-vce-bib_daily","XenApp-PF1"
"Sat Jul 08 22:01:55 2017
,bib-master,vmware_noprod_be-vce-bib_weekly","XenApp-011"
"Sat Jul 08 22:12:39 2017
,bib-master,vmware_noprod_be-vce-bib_weekly","XenApp-081"
"Sat Jul 08 22:19:13 2017
,bib-master,vmware_noprod_be-vce-bib_weekly","XenApp-048"
"Sat Jul 08 23:09:26 2017
,bib-master,vmware_noprod_be-vce-bib_weekly","XenApp-002"
"Sat Jul 08 22:09:26 2017
,bib-master,vmware_noprod_be-vce-bib_weekly","XenApp-079"
"Sat Jul 08 22:31:05 2017
,bib-master,vmware_noprod_be-vce-bib_weekly","XenApp-003"
"Sat Jul 08 22:15:55 2017
,bib-master,vmware_noprod_be-vce-bib_weekly","XenApp-117"
"Sat Jul 08 22:02:21 2017
,bib-master,vmware_noprod_be-vce-bib_weekly","XenApp-021"
"Sat Jul 08 22:18:48 2017
,bib-master,vmware_noprod_be-vce-bib_weekly","XenApp-XXX"
"Sat Jul 08 22:31:36 2017
,bib-master,vmware_noprod_be-vce-bib_weekly","XenApp-004"
"Sat Jul 08 22:32:01 2017
,bib-master,vmware_noprod_be-vce-bib_weekly","XenApp-008"
"Sat Jul 08 22:17:43 2017
,bib-master,vmware_noprod_be-vce-bib_weekly","XenApp-026"
"Sat Jul 08 22:02:19 2017
,bib-master,vmware_noprod_be-vce-bib_weekly","XenApp-036"
"Thu Jul 20 18:01:49 2017
,bib-master,vmware_noprod_be-vce-bib_daily","XenApp-DC1"
"Sat Jul 08 22:20:59 2017
,bib-master,vmware_noprod_be-vce-bib_weekly","XenApp-065"
"Thu Jul 20 18:26:15 2017
,bib-master,vmware_noprod_be-vce-bib_daily","XenApp-WI1"
"Sat Jul 08 22:02:05 2017
,bib-master,vmware_noprod_be-vce-bib_weekly","XenApp-066"
"Sat Jul 08 22:21:52 2017
,bib-master,vmware_noprod_be-vce-bib_weekly","XenApp-103"
"Sun Jul 09 01:07:10 2017
,bib-master,vmware_noprod_be-vce-bib_weekly","XenApp-029"
"Sat Jul 08 22:02:12 2017
,bib-master,vmware_noprod_be-vce-bib_weekly","XenApp-091"
